ID;System;Conc (mol/L);T (K);PCO2 (kPa);aCO2 (mol CO2/mol amine);Reference;DOI
35;1A2P;5.3;313.15;1152.8;0.739;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
36;1A2P;5.3;313.15;1694.4;0.782;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
37;1A2P;5.3;313.15;2118.7;0.814;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
38;1A2P;5.3;393.15;24.3;0.213;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
39;1A2P;5.3;393.15;107.9;0.36;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
40;1A2P;5.3;393.15;245;0.415;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
41;1A2P;5.3;393.15;567.7;0.467;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
42;1A2P;5.3;393.15;944;0.497;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
43;1A2P;5.3;393.15;1411.1;0.52;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
44;1A2P;5.3;393.15;1857.9;0.536;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
45;1A2P;5.3;393.15;2325.7;0.552;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
46;1A2P;6.7;313.15;0.2;0.409;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
47;1A2P;6.7;313.15;14.7;0.511;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
48;1A2P;6.7;313.15;174.2;0.59;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
49;1A2P;6.7;313.15;670.5;0.655;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
50;1A2P;6.7;313.15;1104.1;0.701;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
51;1A2P;6.7;313.15;1490.3;0.726;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
52;1A2P;6.7;313.15;1812.9;0.75;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
53;1A2P;6.7;313.15;2255.3;0.774;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
54;1A2P;6.7;393.15;33.4;0.207;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
55;1A2P;6.7;393.15;95.2;0.308;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
56;1A2P;6.7;393.15;220.8;0.39;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
57;1A2P;6.7;393.15;616.6;0.451;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
58;1A2P;6.7;393.15;1035.5;0.479;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
59;1A2P;6.7;393.15;1627.4;0.503;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
60;1A2P;6.7;393.15;1958.8;0.512;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
61;1A2P;6.7;393.15;2436.4;0.523;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
62;1DMA2P;1;298.15;8.2;0.851;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
63;1DMA2P;1;298.15;11;0.885;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
64;1DMA2P;1;298.15;15;0.934;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
65;1DMA2P;1;298.15;30.1;0.962;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
66;1DMA2P;1;298.15;60;0.98;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
67;1DMA2P;1;298.15;101;1.023;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
68;1DMA2P;1;313.15;8.2;0.729;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
69;1DMA2P;1;313.15;11;0.763;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
70;1DMA2P;1;313.15;15;0.82;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
71;1DMA2P;1;313.15;30.1;0.868;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
72;1DMA2P;1;313.15;60;0.905;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
73;1DMA2P;1;313.15;101;0.921;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
74;1DMA2P;1;333.15;8.2;0.497;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
75;1DMA2P;1;333.15;11;0.538;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
76;1DMA2P;1;333.15;15;0.564;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
77;1DMA2P;1;333.15;30.1;0.667;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
78;1DMA2P;1;333.15;60;0.768;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
79;1DMA2P;1;333.15;101;0.837;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
80;1DMA2P;2;298.15;8.2;0.656;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
81;1DMA2P;2;298.15;11;0.722;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
82;1DMA2P;2;298.15;15;0.733;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
83;1DMA2P;2;298.15;30.1;0.822;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
84;1DMA2P;2;298.15;60;0.929;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
85;1DMA2P;2;298.15;101;0.945;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
86;1DMA2P;2;313.15;8.2;0.611;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
87;1DMA2P;2;313.15;11;0.646;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
88;1DMA2P;2;313.15;15;0.656;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
89;1DMA2P;2;313.15;30.1;0.735;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
90;1DMA2P;2;313.15;60;0.887;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
91;1DMA2P;2;313.15;101;0.913;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
92;1DMA2P;2;333.15;8.2;0.518;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
93;1DMA2P;2;333.15;11;0.579;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
94;1DMA2P;2;333.15;15;0.594;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
95;1DMA2P;2;333.15;30.1;0.629;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
96;1DMA2P;2;333.15;60;0.725;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
97;1DMA2P;2;333.15;101;0.827;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
98;1DMA2P;5;298.15;8.2;0.285;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
99;1DMA2P;5;298.15;11;0.474;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
100;1DMA2P;5;298.15;15;0.606;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
101;1DMA2P;5;298.15;30.1;0.712;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
102;1DMA2P;5;298.15;60;0.792;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
103;1DMA2P;5;298.15;101;0.83;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
104;1DMA2P;5;313.15;8.2;0.265;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
105;1DMA2P;5;313.15;11;0.312;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
106;1DMA2P;5;313.15;15;0.429;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
107;1DMA2P;5;313.15;30.1;0.531;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
108;1DMA2P;5;313.15;60;0.714;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
109;1DMA2P;5;313.15;101;0.767;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
110;1DMA2P;5;333.15;8.2;0.143;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
111;1DMA2P;5;333.15;11;0.19;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
112;1DMA2P;5;333.15;15;0.239;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
113;1DMA2P;5;333.15;30.1;0.281;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
114;1DMA2P;5;333.15;60;0.379;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
115;1DMA2P;5;333.15;101;0.436;Liu et al (2017);https://doi.org/10.1016/j.ces.2017.02.032
116;1EPZ;2.6;313.15;0.43;0.35;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
117;1EPZ;2.6;313.15;1.26;0.454;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
118;1EPZ;2.6;313.15;3.79;0.558;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
119;1EPZ;2.6;313.15;10.1;0.662;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
120;1EPZ;2.6;313.15;22.8;0.753;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
121;1EPZ;2.6;313.15;50.3;0.841;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
122;1EPZ;2.6;313.15;126;0.92;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
123;1EPZ;2.6;313.15;257;0.98;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
124;1EPZ;2.6;313.15;408;1.016;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
125;1EPZ;2.6;313.15;574;1.046;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
126;1EPZ;2.6;313.15;700;1.066;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
127;1EPZ;2.6;393.15;6.1;0.067;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
128;1EPZ;2.6;393.15;40.3;0.115;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
129;1EPZ;2.6;393.15;55.2;0.151;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
130;1EPZ;2.6;393.15;74;0.193;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
131;1EPZ;2.6;393.15;120;0.236;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
132;1EPZ;2.6;393.15;197;0.309;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
133;1EPZ;2.6;393.15;290;0.399;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
134;1EPZ;2.6;393.15;415;0.468;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
135;1EPZ;2.6;393.15;530;0.538;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
136;1EPZ;2.6;393.15;638;0.591;Li et al (2014a);https://doi.org/10.1016/j.ijggc.2014.09.012
137;1MPZ;1;313.15;0.05;0.1112;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
138;1MPZ;1;313.15;0.13;0.2288;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
139;1MPZ;1;313.15;0.5;0.3618;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
140;1MPZ;1;313.15;1.51;0.4844;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
141;1MPZ;1;313.15;4.54;0.612;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
142;1MPZ;1;313.15;12.85;0.7337;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
143;1MPZ;1;313.15;28.33;0.8233;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
144;1MPZ;1;313.15;73.47;0.9195;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
145;1MPZ;1;313.15;134.5;0.9823;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
146;1MPZ;1;313.15;211.6;1.0281;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
147;1MPZ;1;313.15;322.4;1.0772;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
148;1MPZ;1;313.15;456.4;1.1274;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
149;1MPZ;1;343.15;0.4;0.1194;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
150;1MPZ;1;343.15;1;0.179;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
151;1MPZ;1;343.15;1.7;0.2368;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
152;1MPZ;1;343.15;3.3;0.2992;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
153;1MPZ;1;343.15;6.6;0.3844;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
154;1MPZ;1;343.15;14.1;0.4747;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
155;1MPZ;1;343.15;33.7;0.5945;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
156;1MPZ;1;343.15;69.7;0.6979;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
157;1MPZ;1;343.15;124.1;0.7778;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
158;1MPZ;1;343.15;210.7;0.854;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
159;1MPZ;1;343.15;330.1;0.9179;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
160;1MPZ;1;343.15;491;0.9775;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
161;1MPZ;1;373.15;0.6;0.0509;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
162;1MPZ;1;373.15;2.4;0.1068;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
163;1MPZ;1;373.15;5.5;0.1625;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
164;1MPZ;1;373.15;13.6;0.2419;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
165;1MPZ;1;373.15;28.5;0.3448;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
166;1MPZ;1;373.15;60.2;0.4666;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
167;1MPZ;1;373.15;130.4;0.6091;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
168;1MPZ;1;373.15;245;0.739;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
169;1MPZ;1;373.15;433.6;0.8692;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
170;1MPZ;1;393.15;3.4;0.0595;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
171;1MPZ;1;393.15;9.1;0.1146;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
172;1MPZ;1;393.15;19.9;0.1786;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
173;1MPZ;1;393.15;35.3;0.2453;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
174;1MPZ;1;393.15;68.1;0.3387;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
175;1MPZ;1;393.15;126.6;0.4484;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
176;1MPZ;1;393.15;220.7;0.5585;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
177;1MPZ;1;393.15;413.1;0.7027;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
178;1MPZ;3;313.15;0.09;0.1103;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
179;1MPZ;3;313.15;0.18;0.2163;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
180;1MPZ;3;313.15;0.42;0.3188;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
181;1MPZ;3;313.15;1.06;0.418;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
182;1MPZ;3;313.15;3.9;0.5242;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
183;1MPZ;3;313.15;11.06;0.6264;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
184;1MPZ;3;313.15;29.27;0.7261;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
185;1MPZ;3;313.15;67.02;0.817;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
186;1MPZ;3;313.15;139.3;0.8824;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
187;1MPZ;3;313.15;249;0.9405;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
188;1MPZ;3;313.15;382.5;0.9814;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
189;1MPZ;3;313.15;526;1.012;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
190;1MPZ;3;313.15;686.1;1.0394;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
191;1MPZ;3;343.15;0.12;0.0442;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
192;1MPZ;3;343.15;0.32;0.0835;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
193;1MPZ;3;343.15;0.7;0.1233;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
194;1MPZ;3;343.15;1.22;0.1713;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
195;1MPZ;3;343.15;2.35;0.2261;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
196;1MPZ;3;343.15;3.89;0.2769;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
197;1MPZ;3;343.15;7.74;0.346;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
198;1MPZ;3;343.15;15.26;0.4144;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
199;1MPZ;3;343.15;30.62;0.4885;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
200;1MPZ;3;343.15;68.9;0.5686;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
201;1MPZ;3;343.15;134.8;0.648;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
202;1MPZ;3;343.15;241.3;0.7232;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
203;1MPZ;3;343.15;377.6;0.7853;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
204;1MPZ;3;343.15;556.1;0.8381;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
205;1MPZ;3;373.15;1.1;0.0376;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
206;1MPZ;3;373.15;2.1;0.0773;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
207;1MPZ;3;373.15;4.3;0.1156;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
208;1MPZ;3;373.15;7.1;0.1567;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
209;1MPZ;3;373.15;12.3;0.2001;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
210;1MPZ;3;373.15;17.4;0.2471;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
211;1MPZ;3;373.15;33.3;0.3151;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
212;1MPZ;3;373.15;61.6;0.3996;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
213;1MPZ;3;373.15;136.8;0.5109;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
214;1MPZ;3;373.15;283;0.617;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
215;1MPZ;3;373.15;406.7;0.6799;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
216;1MPZ;3;393.15;3.3;0.0312;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
217;1MPZ;3;393.15;7.9;0.0638;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
218;1MPZ;3;393.15;14.4;0.0946;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
219;1MPZ;3;393.15;21.9;0.1281;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
220;1MPZ;3;393.15;32.4;0.1626;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
221;1MPZ;3;393.15;47.3;0.21;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
222;1MPZ;3;393.15;76.8;0.2682;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
223;1MPZ;3;393.15;136.9;0.3471;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
224;1MPZ;3;393.15;238.2;0.4332;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
225;1MPZ;3;393.15;386.2;0.5101;Li et al (2015);https://doi.org/10.1016/j.fluid.2015.03.021
226;1MPZ;8;313.15;0.1;0.1;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
227;1MPZ;8;313.15;0.35;0.15;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
228;1MPZ;8;313.15;1.32;0.2;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
229;1MPZ;8;313.15;5.55;0.26;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
230;1MPZ;8;333.15;0.616;0.1;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
231;1MPZ;8;333.15;2.15;0.15;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
232;1MPZ;8;333.15;6.41;0.2;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
233;1MPZ;8;333.15;22.95;0.26;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
234;1MPZ;8;353.15;3.65;0.1;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
235;1MPZ;8;353.15;10.1;0.15;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
236;1MPZ;8;353.15;25.3;0.2;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
237;1MPZ;8;373.15;12.84;0.1;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
238;1MPZ;8;373.15;33.01;0.15;Xi and Rochelle (2011);https://doi.org/10.1021/ie3023725
239;MDA;0.6;313.15;0.55;0.182;Li et al (2014b);https://doi.org/10.1016/j.jct.2013.11.018
240;MDA;0.6;313.15;1.12;0.417;Li et al (2014b);https://doi.org/10.1016/j.jct.2013.11.018
241;MDA;0.6;313.15;1.46;0.612;Li et al (2014b);https://doi.org/10.1016/j.jct.2013.11.018
